arm,content_type,n,pos,question,target,target_kept,n_kept,bytes_in,bytes_out,compressed,head10_kept
off,invoice_ids,20,0,needle,INV-2026-0001,1,13,919,776,1,
off,invoice_ids,20,3,needle,INV-2026-0004,1,13,919,776,1,
off,invoice_ids,20,5,needle,INV-2026-0006,0,13,919,776,1,
off,invoice_ids,20,6,needle,INV-2026-0007,1,13,919,776,1,
off,invoice_ids,20,10,needle,INV-2026-0011,1,13,921,778,1,
off,invoice_ids,20,15,needle,INV-2026-0016,0,13,921,778,1,
off,invoice_ids,20,19,needle,INV-2026-0020,1,13,921,778,1,
off,invoice_ids,20,-1,count,,,13,899,756,1,7
off,invoice_ids,20,-1,first,,,13,885,742,1,7
off,invoice_ids,20,-1,spread,,,13,937,794,1,7
off,invoice_ids,60,0,needle,INV-2026-0001,1,14,1679,794,1,
off,invoice_ids,60,3,needle,INV-2026-0004,1,14,1679,794,1,
off,invoice_ids,60,15,needle,INV-2026-0016,0,14,1681,796,1,
off,invoice_ids,60,16,needle,INV-2026-0017,0,14,1681,796,1,
off,invoice_ids,60,30,needle,INV-2026-0031,1,14,1681,796,1,
off,invoice_ids,60,45,needle,INV-2026-0046,0,14,1681,796,1,
off,invoice_ids,60,59,needle,INV-2026-0060,1,14,1681,796,1,
off,invoice_ids,60,-1,count,,,14,1659,774,1,5
off,invoice_ids,60,-1,first,,,14,1645,760,1,5
off,invoice_ids,60,-1,spread,,,14,1697,812,1,5
off,invoice_ids,150,0,needle,INV-2026-0001,1,14,3391,796,1,
off,invoice_ids,150,3,needle,INV-2026-0004,1,14,3391,796,1,
off,invoice_ids,150,37,needle,INV-2026-0038,0,14,3393,798,1,
off,invoice_ids,150,38,needle,INV-2026-0039,0,14,3393,798,1,
off,invoice_ids,150,75,needle,INV-2026-0076,1,14,3393,798,1,
off,invoice_ids,150,112,needle,INV-2026-0113,0,14,3395,800,1,
off,invoice_ids,150,149,needle,INV-2026-0150,1,14,3395,800,1,
off,invoice_ids,150,-1,count,,,14,3371,776,1,4
off,invoice_ids,150,-1,first,,,14,3357,762,1,4
off,invoice_ids,150,-1,spread,,,14,3409,814,1,4
off,invoice_ids,400,0,needle,INV-2026-0001,1,14,8141,796,1,
off,invoice_ids,400,3,needle,INV-2026-0004,1,14,8141,796,1,
off,invoice_ids,400,100,needle,INV-2026-0101,0,14,8145,800,1,
off,invoice_ids,400,101,needle,INV-2026-0102,0,14,8145,800,1,
off,invoice_ids,400,200,needle,INV-2026-0201,1,14,8145,800,1,
off,invoice_ids,400,300,needle,INV-2026-0301,0,14,8145,800,1,
off,invoice_ids,400,399,needle,INV-2026-0400,1,14,8145,800,1,
off,invoice_ids,400,-1,count,,,14,8121,776,1,4
off,invoice_ids,400,-1,first,,,14,8107,762,1,4
off,invoice_ids,400,-1,spread,,,14,8159,814,1,4
off,invoice_ids,1000,0,needle,INV-2026-0001,1,14,19543,798,1,
off,invoice_ids,1000,3,needle,INV-2026-0004,1,14,19543,798,1,
off,invoice_ids,1000,250,needle,INV-2026-0251,0,14,19547,802,1,
off,invoice_ids,1000,251,needle,INV-2026-0252,0,14,19547,802,1,
off,invoice_ids,1000,500,needle,INV-2026-0501,1,14,19547,802,1,
off,invoice_ids,1000,750,needle,INV-2026-0751,1,1000,19547,19550,0,
off,invoice_ids,1000,999,needle,INV-2026-1000,1,14,19547,802,1,
off,invoice_ids,1000,-1,count,,,14,19523,778,1,4
off,invoice_ids,1000,-1,first,,,14,19509,764,1,4
off,invoice_ids,1000,-1,spread,,,14,19561,816,1,4
off,file_paths,20,0,needle,src/auth/manager_000.py,1,13,1173,951,1,
off,file_paths,20,3,needle,src/worker/manager_003.py,1,13,1177,955,1,
off,file_paths,20,5,needle,src/proxy/manager_005.py,0,13,1175,953,1,
off,file_paths,20,6,needle,src/codec/manager_006.py,1,13,1175,953,1,
off,file_paths,20,10,needle,src/worker/handler_010.py,1,13,1179,957,1,
off,file_paths,20,15,needle,src/billing/client_015.py,0,13,1179,957,1,
off,file_paths,20,19,needle,src/proxy/client_019.py,1,13,1175,953,1,
off,file_paths,20,-1,count,,,13,1123,901,1,7
off,file_paths,20,-1,first,,,13,1109,887,1,7
off,file_paths,20,-1,spread,,,13,1161,939,1,7
off,file_paths,60,0,needle,src/auth/manager_000.py,1,14,2357,978,1,
off,file_paths,60,3,needle,src/worker/manager_003.py,1,14,2361,982,1,
off,file_paths,60,15,needle,src/billing/client_015.py,0,14,2363,984,1,
off,file_paths,60,16,needle,src/session/client_016.py,0,14,2363,984,1,
off,file_paths,60,30,needle,src/session/router_030.py,1,14,2363,984,1,
off,file_paths,60,45,needle,src/worker/manager_045.py,0,14,2363,984,1,
off,file_paths,60,59,needle,src/worker/client_059.py,1,14,2361,982,1,
off,file_paths,60,-1,count,,,14,2307,928,1,5
off,file_paths,60,-1,first,,,14,2293,914,1,5
off,file_paths,60,-1,spread,,,14,2345,966,1,5
off,file_paths,150,0,needle,src/auth/manager_000.py,1,14,5017,982,1,
off,file_paths,150,3,needle,src/worker/manager_003.py,1,14,5021,986,1,
off,file_paths,150,37,needle,src/session/utils_037.py,0,14,5021,986,1,
off,file_paths,150,38,needle,src/worker/utils_038.py,0,14,5019,984,1,
off,file_paths,150,75,needle,src/proxy/router_075.py,1,14,5019,984,1,
off,file_paths,150,112,needle,src/auth/router_112.py,0,14,5019,984,1,
off,file_paths,150,149,needle,src/session/store_149.py,1,14,5023,988,1,
off,file_paths,150,-1,count,,,14,4967,932,1,4
off,file_paths,150,-1,first,,,14,4953,918,1,4
off,file_paths,150,-1,spread,,,14,5005,970,1,4
off,file_paths,400,0,needle,src/auth/manager_000.py,1,14,12409,970,1,
off,file_paths,400,3,needle,src/worker/manager_003.py,1,14,12413,974,1,
off,file_paths,400,100,needle,src/session/client_100.py,0,14,12417,978,1,
off,file_paths,400,101,needle,src/worker/client_101.py,0,14,12415,976,1,
off,file_paths,400,200,needle,src/cache/router_200.py,1,14,12413,974,1,
off,file_paths,400,300,needle,src/codec/manager_300.py,0,14,12415,976,1,
off,file_paths,400,399,needle,src/auth/store_399.py,1,14,12409,970,1,
off,file_paths,400,-1,count,,,14,12359,920,1,4
off,file_paths,400,-1,first,,,14,12345,906,1,4
off,file_paths,400,-1,spread,,,14,12397,958,1,4
off,file_paths,1000,0,needle,src/auth/manager_000.py,1,14,30150,981,1,
off,file_paths,1000,3,needle,src/worker/manager_003.py,1,14,30154,985,1,
off,file_paths,1000,250,needle,src/proxy/utils_250.py,0,14,30152,983,1,
off,file_paths,1000,251,needle,src/codec/utils_251.py,0,14,30152,983,1,
off,file_paths,1000,500,needle,src/worker/utils_500.py,1,14,30154,985,1,
off,file_paths,1000,750,needle,src/billing/utils_750.py,0,14,30156,987,1,
off,file_paths,1000,999,needle,src/proxy/router_999.py,1,14,30154,985,1,
off,file_paths,1000,-1,count,,,14,30100,931,1,4
off,file_paths,1000,-1,first,,,14,30086,917,1,4
off,file_paths,1000,-1,spread,,,14,30138,969,1,4
off,log_lines,20,0,needle,2026-08-14T09:00:00Z INFO worker-0 processed batch 4000 in 50ms,1,13,2005,1506,1,
off,log_lines,20,3,needle,2026-08-14T09:00:03Z INFO worker-3 processed batch 4003 in 53ms,1,13,2005,1506,1,
off,log_lines,20,5,needle,2026-08-14T09:00:05Z DEBUG worker-5 processed batch 4005 in 55ms,0,13,2007,1508,1,
off,log_lines,20,6,needle,2026-08-14T09:00:06Z INFO worker-6 processed batch 4006 in 56ms,1,13,2005,1506,1,
off,log_lines,20,10,needle,2026-08-14T09:00:10Z WARN worker-10 processed batch 4010 in 60ms,1,13,2009,1510,1,
off,log_lines,20,15,needle,2026-08-14T09:00:15Z INFO worker-15 processed batch 4015 in 65ms,0,13,2009,1510,1,
off,log_lines,20,19,needle,2026-08-14T09:00:19Z WARN worker-3 processed batch 4019 in 69ms,1,13,2007,1508,1,
off,log_lines,20,-1,count,,,13,1907,1408,1,7
off,log_lines,20,-1,first,,,13,1893,1394,1,7
off,log_lines,20,-1,spread,,,13,1945,1446,1,7
off,log_lines,60,0,needle,2026-08-14T09:00:00Z INFO worker-0 processed batch 4000 in 50ms,1,14,4803,1576,1,
off,log_lines,60,3,needle,2026-08-14T09:00:03Z INFO worker-3 processed batch 4003 in 53ms,1,14,4803,1576,1,
off,log_lines,60,15,needle,2026-08-14T09:00:15Z INFO worker-15 processed batch 4015 in 65ms,0,14,4807,1580,1,
off,log_lines,60,16,needle,2026-08-14T09:00:16Z WARN worker-0 processed batch 4016 in 66ms,0,14,4805,1578,1,
off,log_lines,60,30,needle,2026-08-14T09:00:30Z INFO worker-14 processed batch 4030 in 80ms,1,14,4807,1580,1,
off,log_lines,60,45,needle,2026-08-14T09:00:45Z INFO worker-13 processed batch 4045 in 95ms,0,14,4807,1580,1,
off,log_lines,60,59,needle,2026-08-14T09:00:59Z DEBUG worker-11 processed batch 4059 in 109ms,1,14,4811,1584,1,
off,log_lines,60,-1,count,,,14,4705,1478,1,5
off,log_lines,60,-1,first,,,14,4691,1464,1,5
off,log_lines,60,-1,spread,,,14,4743,1516,1,5
off,log_lines,150,0,needle,2026-08-14T09:00:00Z INFO worker-0 processed batch 4000 in 50ms,1,14,11119,1581,1,
off,log_lines,150,3,needle,2026-08-14T09:00:03Z INFO worker-3 processed batch 4003 in 53ms,1,14,11119,1581,1,
off,log_lines,150,37,needle,2026-08-14T09:00:37Z WARN worker-5 processed batch 4037 in 87ms,0,14,11121,1583,1,
off,log_lines,150,38,needle,2026-08-14T09:00:38Z DEBUG worker-6 processed batch 4038 in 88ms,0,14,11123,1585,1,
off,log_lines,150,75,needle,2026-08-14T09:01:15Z INFO worker-11 processed batch 4075 in 125ms,1,14,11125,1587,1,
off,log_lines,150,112,needle,2026-08-14T09:01:52Z WARN worker-0 processed batch 4112 in 72ms,0,14,11123,1585,1,
off,log_lines,150,149,needle,2026-08-14T09:02:29Z DEBUG worker-5 processed batch 4149 in 109ms,1,14,11127,1589,1,
off,log_lines,150,-1,count,,,14,11021,1483,1,4
off,log_lines,150,-1,first,,,14,11007,1469,1,4
off,log_lines,150,-1,spread,,,14,11059,1521,1,4
off,log_lines,400,0,needle,2026-08-14T09:00:00Z INFO worker-0 processed batch 4000 in 50ms,1,14,28658,1579,1,
off,log_lines,400,3,needle,2026-08-14T09:00:03Z INFO worker-3 processed batch 4003 in 53ms,1,14,28658,1579,1,
off,log_lines,400,100,needle,2026-08-14T09:01:40Z WARN worker-4 processed batch 4100 in 60ms,0,14,28662,1583,1,
off,log_lines,400,101,needle,2026-08-14T09:01:41Z DEBUG worker-5 processed batch 4101 in 61ms,0,14,28664,1585,1,
off,log_lines,400,200,needle,2026-08-14T09:03:20Z DEBUG worker-8 processed batch 4200 in 70ms,1,14,28664,1585,1,
off,log_lines,400,300,needle,2026-08-14T09:05:00Z INFO worker-12 processed batch 4300 in 80ms,0,14,28664,1585,1,
off,log_lines,400,399,needle,2026-08-14T09:06:39Z INFO worker-15 processed batch 4399 in 89ms,1,14,28664,1585,1,
off,log_lines,400,-1,count,,,14,28560,1481,1,4
off,log_lines,400,-1,first,,,14,28546,1467,1,4
off,log_lines,400,-1,spread,,,14,28598,1519,1,4
off,log_lines,1000,0,needle,2026-08-14T09:00:00Z INFO worker-0 processed batch 4000 in 50ms,1,14,70762,1582,1,
off,log_lines,1000,3,needle,2026-08-14T09:00:03Z INFO worker-3 processed batch 4003 in 53ms,1,14,70762,1582,1,
off,log_lines,1000,250,needle,2026-08-14T09:04:10Z WARN worker-10 processed batch 4250 in 120ms,0,63,70770,5087,1,
off,log_lines,1000,251,needle,2026-08-14T09:04:11Z DEBUG worker-11 processed batch 4251 in 121ms,1,63,70772,5089,1,
off,log_lines,1000,500,needle,2026-08-14T09:08:20Z DEBUG worker-4 processed batch 4500 in 100ms,0,63,70770,5087,1,
off,log_lines,1000,750,needle,2026-08-14T09:12:30Z INFO worker-14 processed batch 4750 in 80ms,0,63,70768,5085,1,
off,log_lines,1000,999,needle,2026-08-14T09:16:39Z INFO worker-7 processed batch 4999 in 59ms,1,63,70766,5083,1,
off,log_lines,1000,-1,count,,,14,70664,1484,1,4
off,log_lines,1000,-1,first,,,14,70650,1470,1,4
off,log_lines,1000,-1,spread,,,14,70702,1522,1,4
off,test_names,20,0,needle,tests/unit/test_session_manager.py::test_refresh_expired_token_000,1,13,1930,1459,1,
off,test_names,20,3,needle,tests/unit/test_cache_layer.py::test_evict_lru_entry_003,1,13,1910,1439,1,
off,test_names,20,5,needle,tests/unit/test_billing_engine.py::test_refresh_expired_token_005,0,13,1928,1457,1,
off,test_names,20,6,needle,tests/unit/test_auth_flow.py::test_reject_bad_signature_006,1,13,1916,1445,1,
off,test_names,20,10,needle,tests/unit/test_auth_flow.py::test_refresh_expired_token_010,1,13,1920,1449,1,
off,test_names,20,15,needle,tests/unit/test_cache_layer.py::test_refresh_expired_token_015,0,13,1924,1453,1,
off,test_names,20,19,needle,tests/unit/test_cache_layer.py::test_parse_iso_timestamp_019,1,13,1920,1449,1,
off,test_names,20,-1,count,,,13,1830,1359,1,7
off,test_names,20,-1,first,,,13,1816,1345,1,7
off,test_names,20,-1,spread,,,13,1868,1397,1,7
off,test_names,60,0,needle,tests/unit/test_session_manager.py::test_refresh_expired_token_000,1,14,4556,1515,1,
off,test_names,60,3,needle,tests/unit/test_cache_layer.py::test_evict_lru_entry_003,1,14,4536,1495,1,
off,test_names,60,15,needle,tests/unit/test_cache_layer.py::test_refresh_expired_token_015,0,14,4550,1509,1,
off,test_names,60,16,needle,tests/unit/test_session_manager.py::test_reject_bad_signature_016,0,14,4556,1515,1,
off,test_names,60,30,needle,tests/unit/test_auth_flow.py::test_refresh_expired_token_030,1,14,4546,1505,1,
off,test_names,60,45,needle,tests/unit/test_billing_engine.py::test_refresh_expired_token_045,0,14,4556,1515,1,
off,test_names,60,59,needle,tests/unit/test_cache_layer.py::test_parse_iso_timestamp_059,1,14,4546,1505,1,
off,test_names,60,-1,count,,,14,4456,1415,1,5
off,test_names,60,-1,first,,,14,4442,1401,1,5
off,test_names,60,-1,spread,,,14,4494,1453,1,5
off,test_names,150,0,needle,tests/unit/test_session_manager.py::test_refresh_expired_token_000,1,14,10471,1475,1,
off,test_names,150,3,needle,tests/unit/test_cache_layer.py::test_evict_lru_entry_003,1,14,10451,1455,1,
off,test_names,150,37,needle,tests/unit/test_billing_engine.py::test_retry_on_429_037,0,14,10453,1457,1,
off,test_names,150,38,needle,tests/unit/test_auth_flow.py::test_evict_lru_entry_038,0,14,10449,1453,1,
